Epoch: [0][3700/14161]	Batch Time 0.342 (0.327)	Data Load Time 0.032 (0.035)	Loss 3.8110 (4.0186)	Top-5 Accuracy 63.928 (61.745)
Epoch: [0][3800/14161]	Batch Time 0.318 (0.327)	Data Load Time 0.033 (0.035)	Loss 3.3456 (4.0062)	Top-5 Accuracy 72.383 (61.912)
Epoch: [0][3900/14161]	Batch Time 0.327 (0.327)	Data Load Time 0.044 (0.034)	Loss 3.7234 (3.9945)	Top-5 Accuracy 67.431 (62.061)
Epoch: [0][4000/14161]	Batch Time 0.321 (0.327)	Data Load Time 0.035 (0.034)	Loss 3.4726 (3.9834)	Top-5 Accuracy 70.694 (62.207)
Epoch: [0][4100/14161]	Batch Time 0.317 (0.326)	Data Load Time 0.032 (0.034)	Loss 3.3404 (3.9715)	Top-5 Accuracy 70.930 (62.360)
Epoch: [0][4200/14161]	Batch Time 0.313 (0.326)	Data Load Time 0.030 (0.034)	Loss 3.8886 (3.9609)	Top-5 Accuracy 62.754 (62.494)
Epoch: [0][4300/14161]	Batch Time 0.344 (0.326)	Data Load Time 0.032 (0.034)	Loss 3.8328 (3.9512)	Top-5 Accuracy 62.575 (62.610)
Epoch: [0][4400/14161]	Batch Time 0.319 (0.326)	Data Load Time 0.030 (0.034)	Loss 3.4086 (3.9410)	Top-5 Accuracy 68.374 (62.733)
Epoch: [0][4500/14161]	Batch Time 0.351 (0.326)	Data Load Time 0.034 (0.034)	Loss 3.4732 (3.9310)	Top-5 Accuracy 67.152 (62.856)
Epoch: [0][4600/14161]	Batch Time 0.316 (0.326)	Data Load Time 0.035 (0.034)	Loss 3.2818 (3.9212)	Top-5 Accuracy 72.460 (62.990)
Epoch: [0][4700/14161]	Batch Time 0.326 (0.326)	Data Load Time 0.033 (0.034)	Loss 3.4621 (3.9117)	Top-5 Accuracy 66.809 (63.117)
Epoch: [0][4800/14161]	Batch Time 0.320 (0.326)	Data Load Time 0.033 (0.034)	Loss 3.7140 (3.9035)	Top-5 Accuracy 65.502 (63.224)
